編號,成語,注音,用法說明-語義說明,近義成語,反義成語,參考詞語,主條成語／非主條成語
452,天造地設,ㄊㄧㄢ　ㄗㄠˋ　ㄉㄧˋ　ㄕㄜˋ,天然所成就的。＆形容人或事物彼此配合得自然得體，渾然天成。,鬼斧神工、渾然天成,矯揉造作,天授地設、天生地設,主條成語
453,如數家珍,ㄖㄨˊ　ㄕㄨˇ　ㄐㄧㄚ　ㄓㄣ,比喻敘述事物明晰熟練。,一五一十、倒背如流、滾瓜爛熟、瞭如指掌,一知半解、一無所知,,主條成語
454,如膠似漆,ㄖㄨˊ　ㄐㄧㄠ　ㄙˋ　ㄑㄧ,比喻感情的堅固或親密。,比目同行、水乳交融、如影隨形、形影不離、膠漆相投,同床異夢、琴瑟不調、貌合神離、勢如水火,以漆投膠、以膠投漆、似漆如膠、如膠如漆、如膠投漆,主條成語
455,冰消瓦解,ㄅㄧㄥ　ㄒㄧㄠ　ㄨㄚˇ　ㄐㄧㄝˇ,比喻事物潰敗分裂。＆比喻問題完全解決。,分崩離析、煙消雲散,堅如磐石,瓦解冰泮、瓦解冰消、瓦解冰銷,主條成語
456,得寸進尺,ㄉㄜˊ　ㄘㄨㄣˋ　ㄐㄧㄣˋ　ㄔˇ,比喻貪得無厭。,得隴望蜀、貪得無厭,寸進尺退、知足不辱、知足常樂,得寸思尺、得寸覷尺,主條成語
457,相形見絀,ㄒㄧㄤ　ㄒㄧㄥˊ　ㄐㄧㄢˋ　ㄔㄨˋ,相互比較之下，其中一方顯得不如對方。,小巫見大巫、相形失色、瞠乎其後,不相上下、各有千秋、旗鼓相當,,主條成語
458,情不自禁,ㄑㄧㄥˊ　ㄅㄨˋ　ㄗˋ　ㄐㄧㄣ　（變）　ㄑㄧㄥˊ　ㄅㄨˊ　ㄗˋ　ㄐㄧㄣ,感情激動得無法自我控制。,不由自主、不能自己,不為所動、無動於衷,情不可抑、情不自任、情不自勝、情不自堪、情不自已、情不自持,主條成語
459,弱不禁風,ㄖㄨㄛˋ　ㄅㄨˋ　ㄐㄧㄣ　ㄈㄥ,形容人身體十分瘦弱。,弱不勝衣,孔武有力、身強力壯,,主條成語
460,酒囊飯袋,ㄐㄧㄡˇ　ㄋㄤˊ　ㄈㄢˋ　ㄉㄞˋ,稱只會吃喝，而不會辦事的無能之人。貶義。,尸位素餐、衣架飯囊,,酒瓮飯囊、飯囊酒瓮、飯囊酒甕、飯坑酒囊,主條成語
461,想入非非,ㄒㄧㄤˇ　ㄖㄨˋ　ㄈㄟ　ㄈㄟ,形容脫離現實的想像或念頭。,胡思亂想、異想天開,,,主條成語
462,虛張聲勢,ㄒㄩ　ㄓㄤ　ㄕㄥ　ㄕˋ,故意誇大聲威，張揚氣勢，用以嚇阻他人。,裝腔作勢,,偽張聲勢、虛作聲勢、虛張形勢,主條成語
463,虛與委蛇,ㄒㄩ　ㄩˇ　ㄨㄟ　ㄧˊ,形容假意慇懃，敷衍應付。,假意周旋、虛與周旋,坦誠相見、開誠布公,,主條成語
464,進退維谷,ㄐㄧㄣˋ　ㄊㄨㄟˋ　ㄨㄟˊ　ㄍㄨˇ,形容前進後退都無路可走的處境。,進退失據、進退兩難、騎虎難下,,,主條成語
465,後生可畏,ㄏㄡˋ　ㄕㄥ　ㄎㄜˇ　ㄨㄟˋ,比喻年輕人的成就超越先輩，令人敬畏。,青出於藍,乳臭未乾,,主條成語
466,胸無點墨,ㄒㄩㄥ　ㄨˊ　ㄉㄧㄢˇ　ㄇㄛˋ,比喻人毫無學識。,不學無術、不識之無、目不識丁、腹笥甚窘,博學多才、滿腹經綸、滿腹珠璣、學富五車,胸中無墨、腹無點墨,主條成語
467,鬼鬼祟祟,ㄍㄨㄟˇ　ㄍㄨㄟˇ　ㄙㄨㄟˋ　ㄙㄨㄟˋ,形容行事不光明，偷偷摸摸的樣子。,鬼頭鬼腦、偷偷摸摸,光明正大、光明磊落、堂堂正正,,主條成語
468,置若罔聞,ㄓˋ　ㄖㄨㄛˋ　ㄨㄤˇ　ㄨㄣˊ,雖有耳聞，卻好像沒有聽到一樣不加理會。,充耳不聞、置之不理、置之度外,言聽計從、銘記在心,付之罔聞、置若勿聞,主條成語
469,風馳電掣,ㄈㄥ　ㄔˊ　ㄉㄧㄢˋ　ㄔㄜˋ,形容速度極快。,追風逐電、電掣星馳,蝸行牛步、蝸步龜移,電捲風馳、電掣風馳、風馳電捲、風馳電掩、風馳電擊、風馳電赴、風馳電逝、風馳電邁、馳風掣電,主條成語
470,捕風捉影,ㄅㄨˇ　ㄈㄥ　ㄓㄨㄛ　ㄧㄥˇ,比喻所做的事或所說的話毫無根據，憑空揣測。,空穴來風、望風捕影、無中生有,耳聞目睹、言必有據、真憑實據、實事求是,係風捕影、係風捕景、捉影捕風、捉風捕影、捕影拿風、捕影繫風、捕風弄月、捕風繫影、握風捕影、繫風捕影,主條成語
471,義不容辭,ㄧˋ　ㄅㄨˋ　ㄖㄨㄥˊ　ㄘˊ,道義上不容許推卻。,責無旁貸、當仁不讓、義無反顧,袖手旁觀、推三阻四、置身事外、臨難苟免、躊躇不前,義不容卻、義不得辭、義無所辭,主條成語
472,異想天開,ㄧˋ　ㄒㄧㄤˇ　ㄊㄧㄢ　ㄎㄞ,不符實際、不合事理的奇特想法。,妙想天開、胡思亂想、匪夷所思、想入非非,,奇想天開,主條成語
473,隔靴搔癢,ㄍㄜˊ　ㄒㄩㄝ　ㄙㄠ　ㄧㄤˇ,比喻不切實際，未能掌握要點。,,一針見血、一語破的、對症下藥,隔靴之搔、隔靴抓痒、隔靴抓癢、隔靴搔痒,主條成語
474,雞鳴狗盜,ㄐㄧ　ㄇㄧㄥˊ　ㄍㄡˇ　ㄉㄠˋ,比喻有某種卑下技能的人，或指卑微的技能。＆形容卑劣低下的人或事。,鼠竊狗偷,,狗盜雞鳴,主條成語
475,當仁不讓,ㄉㄤ　ㄖㄣˊ　ㄅㄨˋ　ㄖㄤˋ　（變）　ㄉㄤ　ㄖㄣˊ　ㄅㄨˊ　ㄖㄤˋ,遇到應該做的事，主動承擔起來而不推辭。,自告奮勇、義不容辭、義無反顧,推三阻四、置身事外、臨難苟免、躊躇不前,當仁不遜,主條成語
476,鳳毛麟角,ㄈㄥˋ　ㄇㄠˊ　ㄌㄧㄣˊ　ㄐㄧㄠˇ,比喻稀罕珍貴的人、物。,吉光片羽、屈指可數、寥若晨星、寥寥可數、寥寥無幾,不勝枚舉、比比皆是、汗牛充棟、多如牛毛、車載斗量、恆河沙數,鳳毛麟甲、麟角鳳毛,主條成語
477,滿面春風,ㄇㄢˇ　ㄇㄧㄢˋ　ㄔㄨㄣ　ㄈㄥ,形容滿臉笑容、心情喜悅。,春風得意、眉開眼笑、笑容滿面、笑逐顏開、喜形於色、喜笑顏開,愁眉不展、愁眉苦臉、愁眉鎖眼、橫眉怒目,春風滿面、滿臉春風、滿面生春,主條成語
478,恍然大悟,ㄏㄨㄤˇ　ㄖㄢˊ　ㄉㄚˋ　ㄨˋ,猛然醒悟過來。,茅塞頓開、豁然大悟、豁然貫通、豁然開朗,大惑不解、百思不解,恍然始悟,主條成語
479,美輪美奐,ㄇㄟˇ　ㄌㄨㄣˊ　ㄇㄟˇ　ㄏㄨㄢˋ,形容房屋規模高大、裝飾華美。,富麗堂皇,,美奐美輪、輪奐之美,主條成語
480,穿鑿附會,ㄔㄨㄢ　ㄗㄨㄛˋ　ㄈㄨˋ　ㄏㄨㄟˋ,生拉硬扯，牽強解釋。,生拉硬拽、生搬硬套、郢書燕說、牽強附會、強作解人,言之有理、言之鑿鑿、實事求是,傅會穿鑿、穿鑿傅會,主條成語
481,咬文嚼字,ㄧㄠˇ　ㄨㄣˊ　ㄐㄧㄠˊ　ㄗˋ,形容在字句上推敲琢磨。＆形容拘泥於文字詮釋而流於見解迂腐、淺陋。＆形容好稱引古書以賣弄才學的淵博。,字斟句酌、尋行數墨,,,主條成語
482,亡羊補牢,ㄨㄤˊ　ㄧㄤˊ　ㄅㄨˇ　ㄌㄠˊ,比喻犯錯後及時更正，尚能補救。,,,牢補羊亡,主條成語
483,諱疾忌醫,ㄏㄨㄟˋ　ㄐㄧˊ　ㄐㄧˋ　ㄧ,不承認有病，害怕去治療。 ＆比喻問題本小不予處理，終致無法收拾。 ＆比喻掩飾過失而不願聽人規勸。,文過飾非、拒諫飾非,改過不吝、知過必改、退思補過,匿病不醫、護疾忌醫,主條成語
484,敷衍塞責,ㄈㄨ　ㄧㄢˇ　ㄙㄜˋ　ㄗㄜˊ,形容做事不認真負責，只是表面應付。,敷衍了事、潦草塞責,一絲不苟、盡心竭力,,主條成語
485,亦步亦趨,ㄧˋ　ㄅㄨˋ　ㄧˋ　ㄑㄩ,形容事事追隨或仿傚別人。,人云亦云、依樣畫葫蘆、鸚鵡學舌,另闢蹊徑、別出心裁、別開生面、標新立異、獨樹一幟,一步一趨、一趨一步、隨人步趨,主條成語
486,葉公好龍,ㄕㄜˋ　ㄍㄨㄥ　ㄏㄠˋ　ㄌㄨㄥˊ,比喻所好似是而非，以致表裡不一，有名無實。,言行不一、表裡不一,言行一致,,主條成語
487,雕蟲小技,ㄉㄧㄠ　ㄔㄨㄥˊ　ㄒㄧㄠˇ　ㄐㄧˋ,比喻微不足道的技能。,,,彫蟲小技、彫蟲小藝、蟲篆小技、雕蟲篆刻,主條成語
488,暗箭傷人,ㄢˋ　ㄐㄧㄢˋ　ㄕㄤ　ㄖㄣˊ,比喻暗中用陰險的手段中傷他人。,含沙射影、為鬼為蜮,光明正大、光明磊落,暗器傷人、暗箭中人,主條成語
489,永垂不朽,ㄩㄥˇ　ㄔㄨㄟˊ　ㄅㄨˋ　ㄒㄧㄡˇ,永遠流傳而不可磨滅。褒義。,名垂千古、流芳百世、萬古流芳,遺臭萬年,垂不朽、永傳不朽、永存不朽,主條成語
490,隨波逐流,ㄙㄨㄟˊ　ㄅㄛ　ㄓㄨˊ　ㄌㄧㄡˊ,順著水流而行。＆比喻人沒有確定的方向和目標，只依從環境潮流行事。,同流合汙、與世浮沉,中流砥柱、特立獨行,逐浪隨波、隨波同流、隨波漂流、隨波逐塵、隨波逐浪,主條成語
491,出人頭地,ㄔㄨ　ㄖㄣˊ　ㄊㄡˊ　ㄉㄧˋ,超越他人，獨露頭角。,出類拔萃、佼佼不群、卓爾不群、推群獨步、超群絕倫、頭角崢嶸、鶴立雞群,不稂不莠、碌碌無能,,主條成語
492,暴跳如雷,ㄅㄠˋ　ㄊㄧㄠˋ　ㄖㄨˊ　ㄌㄟˊ,形容人急怒時跳腳吼叫的樣子。,大發雷霆、咆哮如雷、勃然大怒,心平氣和、怒不變容,暴躁如雷、爆燥如雷,主條成語
493,克勤克儉,ㄎㄜˋ　ㄑㄧㄣˊ　ㄎㄜˋ　ㄐㄧㄢˇ,既能勤勞又能節儉。,惟儉惟勤,一擲千金、揮金如土、好吃懶做,克儉克勤,主條成語
494,名副其實,ㄇㄧㄥˊ　ㄈㄨˋ　ㄑㄧˊ　ㄕˊ,名聲或名稱與實際相符合。,名下無虛、名不虛傳,名不副實、有名無實、名過其實、徒有其名,名實相副、名實相稱、名實相符,主條成語
495,優柔寡斷,ㄧㄡ　ㄖㄡˊ　ㄍㄨㄚˇ　ㄉㄨㄢˋ,形容行事猶豫，不能當機立斷。貶義。,委決不下、猶豫不決、遲疑不決、舉棋不定、瞻前顧後,剛毅果決、斬釘截鐵、當機立斷、毅然決然,優游不斷、優游少斷、柔懦寡斷、柔茹寡斷,主條成語
496,雞犬不寧,ㄐㄧ　ㄑㄩㄢˇ　ㄅㄨˋ　ㄋㄧㄥˊ,比喻被嚴重騷擾。,雞飛狗跳,雞犬不驚,雞犬無寧,主條成語
497,玩物喪志,ㄨㄢˋ　ㄨˋ　ㄙㄤˋ　ㄓˋ,形容沉溺於某樣事物，因而荒廢了應做的事。貶義。,,刻苦自勵、篤志力行,玩物溺志,主條成語
498,沆瀣一氣,ㄏㄤˋ　ㄒㄧㄝˋ　ㄧ　ㄑㄧˋ　（變）　ㄏㄤˋ　ㄒㄧㄝˋ　ㄧˊ　ㄑㄧˋ,比喻彼此志同道合，意氣相投。褒義。＆比喻彼此臭味相投。貶義。,氣味相投、臭味相投、通同一氣,格格不入、圓鑿方枘,沆瀣一脈、沆瀣一襟,主條成語
499,抱頭鼠竄,ㄅㄠˋ　ㄊㄡˊ　ㄕㄨˇ　ㄘㄨㄢˋ,形容倉皇逃跑的狼狽樣子。,狼奔豕突、狼奔鼠竄、狼狽而逃、落荒而逃,,奉頭鼠竄、捧頭鼠竄,主條成語
500,物以類聚,ㄨˋ　ㄧˇ　ㄌㄟˋ　ㄐㄩˋ,性質相近的東西常聚集在一起。＆比喻壞人互相勾結。,,,方以類聚,主條成語
501,狗尾續貂,ㄍㄡˇ　ㄨㄟˇ　ㄒㄩˋ　ㄉㄧㄠ,比喻任官太濫。＆比喻事物以壞續好，前後不相稱。,濫竽充數,,狗尾聯貂、狗續貂尾,主條成語
502,聲色俱厲,ㄕㄥ　ㄙㄜˋ　ㄐㄩˋ　ㄌㄧˋ,說話時的聲音和臉色都很嚴厲。,正言厲色、疾言厲色,和顏悅色,辭色俱厲,主條成語
503,陳陳相因,ㄔㄣˊ　ㄔㄣˊ　ㄒㄧㄤ　ㄧㄣ,比喻因襲舊例，缺乏創新。,一成不變、因循守舊、抱殘守缺、墨守成規、蕭規曹隨、蹈常襲故,另闢蹊徑、別出心裁、革故鼎新、除舊布新、推陳出新、獨闢蹊徑,,主條成語
504,升堂入室,ㄕㄥ　ㄊㄤˊ　ㄖㄨˋ　ㄕˋ,指進入屋內。＆比喻學問或技藝循序漸進，而達到高深的境界。,登峰造極、精益求精,一知半解、淺嘗輒止,入室升堂、登堂入室,主條成語
505,華而不實,ㄏㄨㄚˊ　ㄦˊ　ㄅㄨˋ　ㄕˊ,比喻虛浮而不切實際。貶義。,羊質虎皮、金玉其外、敗絮其中、虛有其表、魚質龍文,秀外慧中、表裡如一、實而不華、樸實無華,多華少實、華而少實,主條成語
506,墨守成規,ㄇㄛˋ　ㄕㄡˇ　ㄔㄥˊ　ㄍㄨㄟ,形容行事保守。,一成不變、因循守舊、抱殘守缺、故步自封、陳陳相因、畫地自限,不主故常、日新月異、另闢蹊徑、勇猛精進、推陳出新、標新立異,墨守成法、墨守舊法,主條成語
507,鋌而走險,ㄊㄧㄥˇ　ㄦˊ　ㄗㄡˇ　ㄒㄧㄢˇ,在窮途末路或受逼迫時採取冒險行動或不正當的行為。,狗急跳牆、逼上梁山,,挺而走險、挺鹿走險,主條成語
508,左右逢源,ㄗㄨㄛˇ　ㄧㄡˋ　ㄈㄥˊ　ㄩㄢˊ,比喻辦事得心應手或處事圓融。,八面玲瓏、得心應手、無往不利,左支右絀,左右逢原,主條成語
509,傾國傾城,ㄑㄧㄥ　ㄍㄨㄛˊ　ㄑㄧㄥ　ㄔㄥˊ,形容女子極為美麗動人。,天香國色、沉魚落雁、冠絕群芳、風華絕代、閉月羞花、國色天香,無鹽之貌,一貌傾城、一顧傾人、一顧傾城、傾城傾國,主條成語
510,待價而沽,ㄉㄞˋ　ㄐㄧㄚˋ　ㄦˊ　ㄍㄨ,比喻人等待良機，為世所用。＆比喻商品等待買主出高價買下。,待價藏珠、蘊奇待價,,善價而沽、善賈而沽,主條成語
511,焚膏繼晷,ㄈㄣˊ　ㄍㄠ　ㄐㄧˋ　ㄍㄨㄟˇ,形容不眠不休地的工作或活動。,孜孜不倦、夜以繼日,玩歲愒時,燃膏繼晷、繼晷焚膏,主條成語
512,狡兔三窟,ㄐㄧㄠˇ　ㄊㄨˋ　ㄙㄢ　ㄎㄨ,比喻有多處藏身的地方或多種避禍的準備。,,走投無路,三窟狡兔、兔三窟、狡兔三穴,主條成語
513,忠言逆耳,ㄓㄨㄥ　ㄧㄢˊ　ㄋㄧˋ　ㄦˇ,形容誠懇正直的規勸往往刺耳，而不易被人接受。,良藥苦口,,逆耳之言、逆耳忠言,主條成語
514,嗟來之食,ㄐㄧㄝ　ㄌㄞˊ　ㄓ　ㄕˊ,比喻侮辱性或不懷好意的施捨。,,,嗟來食,主條成語
515,斷章取義,ㄉㄨㄢˋ　ㄓㄤ　ㄑㄩˇ　ㄧˋ,指截取文章或談話中的某一段落，而不顧整體內容的原意。,斷章摘句、斷章截句,,斷章取意,主條成語
516,上下其手,ㄕㄤˋ　ㄒㄧㄚˋ　ㄑㄧˊ　ㄕㄡˇ,比喻玩弄手段，暗中作弊。＆形容帶有邪念，不禮貌地觸摸他人身體。,徇私舞弊、通同作弊,奉公守法,上下手、移手上下、高下其手,主條成語
517,一日三秋,ㄧ　ㄖˋ　ㄙㄢ　ㄑㄧㄡ　（變）　ㄧˊ　ㄖˋ　ㄙㄢ　ㄑㄧㄡ,比喻思念心切。,,,三秋一日、日三秋,主條成語
518,出生入死,ㄔㄨ　ㄕㄥ　ㄖㄨˋ　ㄙˇ,人從出生到死亡的過程。＆比喻冒險犯難，隨時有喪失生命的危險。,舍生忘死、赴湯蹈火、置生死於度外,畏縮不前、貪生怕死、臨陣脫逃,入死出生、出死入生,主條成語
519,諱莫如深,ㄏㄨㄟˋ　ㄇㄛˋ　ㄖㄨˊ　ㄕㄣ,比喻將事情隱瞞得非常嚴密，不為外人所知。,守口如瓶、祕而不宣、緘口不言,直言不諱、直言無隱、和盤托出,,主條成語
520,一字千金,ㄧ　ㄗˋ　ㄑㄧㄢ　ㄐㄧㄣ　（變）　ㄧˊ　ㄗˋ　ㄑㄧㄢ　ㄐㄧㄣ,比喻文辭精當，結構嚴謹。褒義。 ＆形容價值極高的作品。褒義。 ＆指書法上一字價值千金。,字字珠璣、金章玉句,驢鳴犬吠,一字百金,主條成語
521,日薄西山,ㄖˋ　ㄅㄛˊ　ㄒㄧ　ㄕㄢ,太陽快下山之時。＆比喻人已近老，生命將盡。＆比喻事物接近衰亡。,人命危淺、命在旦夕、風中殘燭、奄奄一息、朝不保夕,旭日初升、身強力壯、春秋鼎盛,日薄西隅、西山日薄、西山日迫,主條成語
522,首鼠兩端,ㄕㄡˇ　ㄕㄨˇ　ㄌㄧㄤˇ　ㄉㄨㄢ,形容猶豫不決的樣子。,委決不下、狐疑不決、逡巡不前、猶豫不定、舉棋不定,當機立斷、毅然決然,兩端首鼠、首施兩端,主條成語
523,心曠神怡,ㄒㄧㄣ　ㄎㄨㄤˋ　ㄕㄣˊ　ㄧˊ,心情開朗，精神愉悅。,神怡心醉、神清氣爽、曠志怡神,心煩意亂,心怡神曠、心曠神恬、心曠神愉、心爽神怡、心移神曠,主條成語
524,洞若觀火,ㄉㄨㄥˋ　ㄖㄨㄛˋ　ㄍㄨㄢ　ㄏㄨㄛˇ,比喻觀察事物非常透澈。,一目了然、明察秋毫、瞭如指掌,如坐雲霧、霧裡看花,明若觀火、洞如觀火、燎如觀火,主條成語
525,心腹之患,ㄒㄧㄣ　ㄈㄨˋ　ㄓ　ㄏㄨㄢˋ,形容致命的禍患或隱藏在內部的危害。,心腹大患,疥癬之疾,心腹之疾、腹心之患、腹心之憂、腹心之疾,主條成語
526,專心致志,ㄓㄨㄢ　ㄒㄧㄣ　ㄓˋ　ㄓˋ,專一心思，集中精神。,一心一意、全神貫注、屏氣凝神、聚精會神,三心二意、心不在焉、心猿意馬、漫不經心,專思致慮,主條成語
527,嘔心瀝血,ㄡˇ　ㄒㄧㄣ　ㄌㄧˋ　ㄒㄧㄝˇ,比喻費盡心思，用盡心血。,苦心孤詣、費盡心思、煞費苦心,,嘔出心肝、嘔心吐膽、瀝血叩心,主條成語
528,兵不血刃,ㄅㄧㄥ　ㄅㄨˋ　ㄒㄧㄝˇ　ㄖㄣˋ,比喻輕易得勝。,不戰而勝,,兵無血刃、軍不血刃,主條成語
529,循循善誘,ㄒㄩㄣˊ　ㄒㄩㄣˊ　ㄕㄢˋ　ㄧㄡˋ,形容善於循序漸進地誘導別人。,,,善誘循循、循循誘人、恂恂善導、恂恂善誘,主條成語
530,利令智昏,ㄌㄧˋ　ㄌㄧㄥˋ　ㄓˋ　ㄏㄨㄣ,形容受利慾迷惑，使得理智昏亂。,見利忘義、利慾薰心、財迷心竅,見利思義、輕財好義、臨財不苟,利以昏智、慾令智昏、智以利昏,主條成語
531,暴殄天物,ㄅㄠˋ　ㄊㄧㄢˇ　ㄊㄧㄢ　ㄨˋ,比喻糟蹋物力，不知珍惜。,鋪張浪費,克勤克儉、修舊利廢,暴天物、殄天物,主條成語
532,不翼而飛,ㄅㄨˋ　ㄧˋ　ㄦˊ　ㄈㄟ　（變）　ㄅㄨˊ　ㄧˋ　ㄦˊ　ㄈㄟ,比喻物品無故遺失。,,合浦珠還,毋翼而飛、無翼而飛,主條成語
533,人面桃花,ㄖㄣˊ　ㄇㄧㄢˋ　ㄊㄠˊ　ㄏㄨㄚ,女子容貌美麗，可與桃花爭豔。＆形容景色依舊，而人事已非的感傷。,,,桃花人面,主條成語
534,塞翁失馬,ㄙㄞˋ　ㄨㄥ　ㄕ　ㄇㄚˇ,比喻暫時受到損失，卻因禍得福，終於得到好處。,因禍得福,福過災生、樂極生悲,北叟失馬、喪馬之翁、失馬塞翁、失馬翁,主條成語
535,置之度外,ㄓˋ　ㄓ　ㄉㄨˋ　ㄨㄞˋ,不放在心上，不加理會。,置之腦後、置若罔聞,耿耿於懷,付之度外、度外置之、置之身外,主條成語
536,得過且過,ㄉㄜˊ　ㄍㄨㄛˋ　ㄑㄧㄝˇ　ㄍㄨㄛˋ,形容苟且偷安，不求上進。,苟且偷安、敷衍塞責,發憤圖強、精益求精、聞雞起舞,,主條成語
537,怙惡不悛,ㄏㄨˋ　ㄜˋ　ㄅㄨˋ　ㄑㄩㄢ,指人作惡多端，不肯悔改。貶義。,執迷不悟,改邪歸正、改過自新、改過遷善、洗心革面、痛改前非、翻然悔悟,怙惡不改、諱惡不悛、長惡不悛,主條成語
538,七嘴八舌,ㄑㄧ　ㄗㄨㄟˇ　ㄅㄚ　ㄕㄜˊ,形容人多口雜，議論紛亂。,七言八語,眾口一詞、異口同聲,七嘴八張、七張八嘴,主條成語
539,不修邊幅,ㄅㄨˋ　ㄒㄧㄡ　ㄅㄧㄢ　ㄈㄨˊ,形容不講究衣飾儀容。＆形容不拘形式小節。,不衫不履、首如飛蓬、蓬頭垢面、不拘小節、放浪不羈,衣冠楚楚、西裝革履、修飾邊幅,不事邊幅、不脩邊幅、不飾邊幅、邊幅不修,主條成語
540,手無寸鐵,ㄕㄡˇ　ㄨˊ　ㄘㄨㄣˋ　ㄊㄧㄝˇ,形容手上沒有拿任何武器。,赤手空拳、隻手空拳,披堅執銳、荷槍實彈,手無寸刃、手無尺鐵、身無寸鐵,主條成語
541,玉石俱焚,ㄩˋ　ㄕˊ　ㄐㄩˋ　ㄈㄣˊ,比喻不論賢愚、善惡、好壞同時受害，盡皆毀滅。,同歸於盡、芝艾同焚、蘭艾同焚,,玉石俱摧、玉石俱燼、玉石俱碎、玉石同沉、玉石同焚、玉石同碎,主條成語
542,危言聳聽,ㄨㄟˊ　ㄧㄢˊ　ㄙㄨㄥˇ　ㄊㄧㄥ,故意說些誇大、嚇人的話，使聽的人驚駭。,,,危言駭世、危詞聳聽、大言聳聽,主條成語
543,如雷貫耳,ㄖㄨˊ　ㄌㄟˊ　ㄍㄨㄢˋ　ㄦˇ,比喻人名氣很大，眾所共聞。,,,如雷在耳、如雷灌耳,主條成語
544,瓜熟蒂落,ㄍㄨㄚ　ㄕㄡˊ　ㄉㄧˋ　ㄌㄨㄛˋ,比喻懷胎足月生產。＆比喻時機成熟，事情自然成功。,水到渠成,,,主條成語
545,任勞任怨,ㄖㄣˋ　ㄌㄠˊ　ㄖㄣˋ　ㄩㄢˋ,形容人做事熱心負責，不辭勞苦，不怕嫌怨。,不辭勞怨,,任勞怨、肩勞任怨,主條成語
546,口誅筆伐,ㄎㄡˇ　ㄓㄨ　ㄅㄧˇ　ㄈㄚ,用言語和文字來揭發、譴責他人的罪狀。,,,口伐舌擊、筆誅口伐,主條成語
547,一手遮天,ㄧ　ㄕㄡˇ　ㄓㄜ　ㄊㄧㄢ　（變）　ㄧˋ　ㄕㄡˇ　ㄓㄜ　ㄊㄧㄢ,比喻玩弄權術、瞞上欺下的行徑。貶義。,掩人耳目、瞞天過海,正大光明、行不由徑、光明磊落,一手障天、隻手遮天,主條成語
